CONYR,RESYR,PCI_2,CRACK_INDX,IRI,AADT,TRUCKS,years_since_repair
1926.0,2019.0,69.0,84.0,138.2,9050.0,202.0,6.0
1977.0,0.0,53.0,76.0,196.41,6887.0,193.0,48.0
1927.0,1950.0,76.0,93.0,129.59,3398.0,174.0,75.0
1927.0,2008.0,73.0,86.0,109.3,2445.0,160.0,17.0
1928.0,2008.0,69.0,80.0,128.59,2492.0,145.0,17.0
1928.0,2008.0,70.0,85.0,141.09,3327.0,145.0,17.0
1956.0,2017.0,63.0,81.0,166.58,5548.0,262.0,8.0
1956.0,0.0,28.0,70.0,273.82,4793.0,301.0,69.0
2000.0,0.0,81.0,96.0,107.2,4300.0,943.0,25.0
2002.0,0.0,74.0,91.0,128.59,3652.0,854.0,23.0
2003.0,0.0,76.0,87.0,116.08,4525.0,824.0,22.0
2003.0,0.0,71.0,75.0,120.2,4400.0,836.0,22.0
2003.0,0.0,67.0,79.0,142.01,4790.0,897.0,22.0
2003.0,0.0,80.0,97.0,113.85,5250.0,988.0,22.0
1998.0,0.0,79.0,90.0,101.41,5583.0,975.0,27.0
1998.0,0.0,65.0,66.0,119.57,6972.0,987.0,27.0
1997.0,0.0,77.0,96.0,120.01,8463.0,487.0,28.0
2000.0,0.0,75.0,89.0,114.68,11365.0,2190.0,25.0
2000.0,0.0,64.0,57.0,104.2,12783.0,2177.0,25.0
2002.0,0.0,82.0,95.0,93.56,13440.0,1990.0,23.0
2018.0,0.0,76.0,98.0,118.66,7205.0,1196.0,7.0
2018.0,0.0,83.0,91.0,81.96,3350.0,411.0,7.0
1968.0,2012.0,85.0,88.0,63.88,6667.0,415.0,13.0
1969.0,2012.0,82.0,85.0,76.17,5395.0,421.0,13.0
1930.0,2012.0,76.0,82.0,87.48,3668.0,420.0,13.0
1930.0,2013.0,79.0,87.0,53.71,4648.0,514.0,12.0
1994.0,0.0,61.0,61.0,126.18,4888.0,534.0,31.0
1930.0,2019.0,86.0,96.0,71.37,2137.0,292.0,6.0
1930.0,2019.0,85.0,98.0,73.59,1425.0,209.0,6.0
1930.0,2021.0,60.0,55.0,95.99,2173.0,244.0,4.0
1930.0,2021.0,58.0,48.0,92.0,2905.0,238.0,4.0
1994.0,0.0,61.0,70.0,130.05,6323.0,291.0,31.0
2015.0,0.0,71.0,100.0,142.2,10100.0,343.0,10.0
2015.0,2017.0,75.0,89.0,111.71,8650.0,343.0,8.0
1970.0,2017.0,73.0,88.0,121.28,6200.0,447.0,8.0
1979.0,2017.0,83.0,89.0,79.53,3837.0,532.0,8.0
1979.0,2017.0,76.0,89.0,111.63,4910.0,555.0,8.0
1931.0,2017.0,88.0,90.0,57.66,2270.0,477.0,8.0
1931.0,2017.0,82.0,86.0,74.18,2270.0,477.0,8.0
1931.0,2017.0,83.0,90.0,61.0,1823.0,354.0,8.0
1951.0,1987.0,42.0,40.0,160.89,6767.0,520.0,38.0
2000.0,2009.0,73.0,75.0,98.5,8533.0,558.0,16.0
2000.0,2020.0,93.0,100.0,46.98,5200.0,734.0,5.0
1999.0,0.0,74.0,88.0,114.44,7912.0,873.0,26.0
1999.0,0.0,76.0,90.0,104.51,14640.0,1110.0,26.0
1998.0,0.0,81.0,100.0,96.17,15816.0,1151.0,27.0
1998.0,0.0,73.0,98.0,136.61,15650.0,1176.0,27.0
2021.0,0.0,65.0,69.0,115.66,16675.0,1354.0,4.0
1971.0,2017.0,72.0,84.0,117.97,11850.0,594.0,8.0
1950.0,2017.0,71.0,82.0,107.21,19800.0,348.0,8.0
1950.0,2017.0,45.0,78.0,243.72,10050.0,364.0,8.0
1950.0,2017.0,67.0,82.0,151.04,10675.0,453.0,8.0
1934.0,2021.0,75.0,94.0,114.54,21700.0,494.0,4.0
1950.0,2021.0,81.0,97.0,114.03,20050.0,480.0,4.0
1950.0,2021.0,83.0,98.0,102.29,19300.0,521.0,4.0
1950.0,2021.0,82.0,98.0,105.88,21233.0,636.0,4.0
1934.0,2021.0,81.0,95.0,97.38,11150.0,695.0,4.0
1950.0,1985.0,49.0,63.0,176.05,19500.0,598.0,40.0
1930.0,2004.0,55.0,57.0,142.83,17533.0,617.0,21.0
1930.0,2001.0,38.0,55.0,207.71,17800.0,763.0,24.0
1930.0,2001.0,17.0,16.0,204.13,17800.0,763.0,24.0
1930.0,2016.0,58.0,83.0,177.59,8266.0,892.0,9.0
1934.0,2016.0,63.0,81.0,135.62,7950.0,956.0,9.0
